GameRanking,,,,,,,
Top Ranking 2001,,,,,genre,,
#1,Halo: Combat Evolved,,,,FPS,,
#2,Grand Theft Auto III,,,,Action/Adventure,,
#3,Metal Gear Solid 2: Sons of Liberty,,,,Action/Adventure,,
#4,Gran Turismo 3: A-Spec,,,,Racing,,
#5,Tony Hawk's Pro Skater 3,,,,Sports,,
#6,Devil May Cry,,,,Action/Adventure,,
#7,SSX Tricky,,,,Snowboarding,,
#8,Advance Wars,,,,Turn-bases tactics,,
#9,Madden NFL 2002,,,,Sports,,
#10,The Legend of Zelda: Oracle of Ages,,,,Action/Adventure,,
https://www.gamerankings.com/browse.html?site=&cat=0&year=2001&numrev=0&sort=0&letter=&search=,,,,,,,
