GameRanking,,,,,,,,
Top Ranking 2016,,,,,genre,,,
#1,Inside,,,,Puzzle-platform,,,
#2,Uncharted 4: A Thief’s End,,,,Action-adventure,,,
#3,Forza Horizon 3,,,,Racing,,,
#4,The Witcher III: Blood & Wine,,,,Action role-playing,,,PC
#5,Overwatch,,,,FPS,,,PC
#6,Overwatch,,,,FPS,,,PS4
#7,Owlboy,,,,Platform-adventure,,,
#8,The Witcher III: Blood & Wine,,,,Action role-playing,,,PS4
#9,Stardew Valley,,,,Role-playing,,,
#10,Titanfall 2,,,,FPS,,,
https://www.gamerankings.com/browse.html?site=&cat=0&year=2016&numrev=0&sort=0&letter=&search=,,,,,,,,
