GameRanking,,,,,,,
Top Ranking 2014,,,,,genre,,
#1,Grand Theft Auto V,,,,Action-adventure,,
#2,The Last of Us Remastered,,,,Action-adventure,,
#3, Super Smash Bros. for Wii U,,,,Fighting,,
#4,Bayonetta 2,,,,Action,,
#5,Diablo III: Ultimate Evil Edition,,,,Action-role playing,,
#6,Monument Valley,,,,Puzzle,,
#7,Shovel Knight,,,,Action ,,
#8,The Last of Us: Left Behind,,,,Action-adventure,,
#9,Guacamelee!,,,,Platformer,,
#10,Dark Soul II,,,,Action-role playing,,
https://www.gamerankings.com/browse.html?site=&cat=0&year=2014&numrev=0&sort=0&letter=&search=,,,,,,,
