GameRanking,,,,,,,,
Top Ranking 2007,,,,,genre,,,
#1,Super Mario Galaxy,,,,Platform,,,
#2,The Orange Box,,,,"FPS, Puzzle",,,XBOX360
#3,The Orange Box,,,,"FPS, Puzzle",,,PC
#4,BioShock,,,,FPS,,,XBOX360
#5,BioShock,,,,FPS,,,PC
#6,Call of Duty 4: Modern Warfare,,,,FPS,,,XBOX360
#7,Call of Duty 4: Modern Warfare,,,,FPS,,,PS3
#8,Halo 3,,,,FPS,,,
#9,The Elder Scrolls IV: Oblivion,,,,Action role-playing,,,
#10,God of war II,,,,Action-adventure,,,
https://www.gamerankings.com/browse.html?site=&cat=0&year=2007&numrev=0&sort=0&letter=&search=,,,,,,,,
