GameRanking,,,,,,,,
Top Ranking 2010,,,,,genre,,,
#1,Super Mario Galaxy 2,,,,Platform,,,
#2,Mass Effect 2,,,,Third-person shooter,,,XBOX360
#3,Red Dead Redemption,,,,Action-adventure,,,PS3
#4,Mass Effect 2,,,,Third-person shooter,,,PC
#5,Red Dead Redemption,,,,Action-adventure,,,XBOX360
#6,Stracraft II: Wings of Liberty,,,,Real-time strategy,,,
#7,Rock Band 3,,,,Music Video Game,,,
#8,God of War III,,,,Action-adventure,,,
#9,Halo: Reach,,,,FPS,,,
#10,World of Warcraft: Cataclysm,,,,MMORPG,,,
https://www.gamerankings.com/browse.html?site=&cat=0&year=2010&numrev=0&sort=0&letter=&search=,,,,,,,,
