GameRanking,,,,,,,,
Top Ranking 2011,,,,,genre,,,
#1,Batman: Arkham City,,,,Action-adventure,,,PS3
#2,Portal 2,,,,Puzzle-platform,,,PC
#3,The Elder Scrolls V: Skyrim,,,,Action Role-Playing,,,
#4,Portal 2,,,,Puzzle-platform,,,XBOX360
#5,Portal 2,,,,Puzzle-platform,,,PS3
#6,The Legend of Zelda: Orcarina of Time 3D,,,,Action-adventure,,,XBOX360
#7,Batman: Arkham City,,,,Action-adventure,,,
#8,The Legend of Zelda: Skyward Sword,,,,Action-adventure,,,
#9,Mass Effect 2,,,,Third-person shooter,,,
#10,LittleBigPlanet 2,,,,Puzzle-platformer,,,
https://www.gamerankings.com/browse.html?site=&cat=0&year=2011&numrev=0&sort=0&letter=&search=,,,,,,,,
