GameRanking,,,,,,,,
Top Ranking 2005,,,,,genre,,,
#1,Resident Evil 4,,,,Survival horror,,,PS2
#2,Resident Evil 4,,,,Survival horror,,,GC
#3,Ninja Gaiden Black,,,,Action/Adventure,,,
#4,Tom Clancy's Splinter Cell: Chaos Theory,,,,Stealth,,,
#5,God of War,,,,Action/Adventure,,,
#6,Sid Meier's   Civilization IV,,,,Turn-based strategy,,,
#7,Forza Motorsport,,,,Racing,,,
#8,Grand Theft Auto: San Andreas,,,,Action/Adventure,,,
#9,Guitar Hero,,,,"Music, Rhythm",,,
#10,Grand Theft Auto: San Andreas,,,,Action/Adventure,,,
https://www.gamerankings.com/browse.html?site=&cat=0&year=2005&numrev=0&sort=0&letter=&search=,,,,,,,,
