GameRanking,,,,,,,,
Top Ranking 2012,,,,,genre,,,
#1,Persona 4 Golden,,,,Role-playing,,,
#2,Journey,,,,Adventure,,,
#3,Mass Effect 3,,,,Action role-playing,,,XBOX360
#4,Xenoblade Chronicles,,,,Action role-playing,,,
#5,Mass Effect 3,,,,Action role-playing,,,PS3
#6,Trails Evolution,,,,Racing,,,
#7,Borderlands 2,,,,Action Role-Playing,,,PS3
#8,Mark of the Ninja,,,,Action-stealth,,,
#9,Okami HD,,,,Action-adventure,,,
#10,Borderlands 2,,,,Action Role-Playing,,,PC
https://www.gamerankings.com/browse.html?site=&cat=0&year=2012&numrev=0&sort=0&letter=&search=,,,,,,,,
