GameRanking,,,,,,,,
Top Ranking 2009,,,,,genre,,,
#1,Uncharted 2: Among Thieves,,,,Action-adventure,,,
#2,Street Fighter IV,,,,Fighting,,,PS3
#3,Call of Duty: Modern Warfare 2,,,,FPS,,,XBOX360
#4,Call of Duty: Modern Warfare 2,,,,FPS,,,PS3
#5,Street Fighter IV,,,,Fighting,,,XBOX360
#6,Minecraft,,,,"Sandbox, Survival",,,
#7,Grand Theft Auto: Chinatown Wars,,,,Action-adventure,,,
#8,Metroid Prime Trilogy,,,,FPS,,,
#9,Batman: Arkham Asylum,,,,Action-adventure,,,
#10,Forza Motorsport 3,,,,Racing,,,
https://www.gamerankings.com/browse.html?site=&cat=0&year=2009&numrev=0&sort=0&letter=&search=,,,,,,,,
