D.I.C.E. Awards,,,,,,,,
Game | Best Game in 2003,,,,,,Genre,,
#1,Battlefield 1942,,,,,FPS,,
เข้าชิง,Animal Crossing,,,,,Simulation,,
เข้าชิง,Grand Theft Auto: Vice City,,,,,Action-adventure,,
เข้าชิง,Metroid Prime,,,,,Action-adventure,,
เข้าชิง,Ratchet & Clank,,,,,third-person shooter,,
https://www.interactive.org/awards/award_category_details.asp?idAward=2003&idGameAwardType=65,,,,,,,,
,,,,,,,,
,,,,,,,,
GameRanking,,,,,,,,
Top Ranking 2003,,,,,genre,,,
#1,Grand Theft Auto Double Pack,,,,Action/Adventure,,,
#2,The Legend of Zelda: The Winter Waker,,,,Action/Adventure,,,
#3,Grand Theft Auto: Vice City,,,,Action/Adventure,,,
#4,Star Wars: Knights of the old republic,,,,Role-playing,,,XBOX
#5,NCAA Football 2004,,,,Sports,,,
#6,Star Wars: Knights of the old republic,,,,Role-playing,,,PC
#7,Project Gotham Racing 2,,,,Racing,,,
#8,Prince of Persia: The Sands of Time,,,,Action/Adventure,,,
#9,SSX 3,,,,Snowboarding,,,
#10,Super Mario Advance 4: Super Mario Bros. 3,,,,Platform game,,,
https://www.gamerankings.com/browse.html?site=&cat=0&year=2003&numrev=0&sort=0&letter=&search=,,,,,,,,
