GameRanking,,,,,,,,
Top Ranking 2006,,,,,genre,,,
#1,The Legend of Zelda: Twilight Princess,,,,Action/Adventure,,,
#2,Gears of War,,,,Third-person shooter,,,
#3,Company of Heroes,,,,Real-time strategy,,,
#4,The Elder Scrolls IV: Oblivion,,,,Action role-playing,,,XBOX
#5,The Elder Scrolls IV: Oblivion,,,,Action role-playing,,,PC
#6,Sid Meier's   Civilization IV,,,,Turn-based strategy,,,
#7,Metal Gear Solid 3: Subsistence,,,,Action-adventure,,,
#8,Guitar Hero II,,,,"Music, Rhythm",,,
#9,Final Fatasy XII,,,,Role-playing,,,
#10,Tom Clancy's Ghost Recon Advanced Warfighter,,,,Tactical shooter,,,
https://www.gamerankings.com/browse.html?site=&cat=0&year=2006&numrev=0&sort=0&letter=&search=,,,,,,,,
