GameRanking,,,,,,,,
Top Ranking  2018,,,,,,Genre,,
#1,Red Dead Redemption 2,,,,,Action-adventure,,
#2,God Of War,,,,,Action-adventure,,
#3,Divinity: Original Sin II - Definitive Edition,,,,, Role-Playing,,
#4,Shadow of the Colossus,,,,, Role-Playing,,
#5,Forza Horizon 4,,,,,Racing,,
#6,Astro Bot: Rescue Mission,,,,,Platform,,
#7,Tertis Effect,,,,,Puzzle,,
#8,Monster Hunter: World,,,,,Action Role-Playing,,
#9,Marvel's Spider-Man,,,,,Action-adventure,,
#10,Into the Breach,,,,,Turn-based stratrgy,,
https://www.gamerankings.com/browse.html?site=&cat=0&year=2018&numrev=0&sort=0&letter=&search=,,,,,,,,
