1,Tony Hawk's Pro Skater 2,Extreme sports,PS,94.75%
2,Perfect Dark,FPS,N64,94.55%
3,NFL 2K1,Sports,DC,94.50%
4,Baldur's Gate II: Shadow of Amn,Role-playing,PC,93.97%
5,Resident Evil Code: Veronica,Survival horror,DC,93.79%
6,Rayman 2: The Great Escape,Action-adventure,DC,93.05%
7,Final Fantasy IX,Role-playing,PS,92.72%
8,SSX,Snowboarding,PS2,92.39%
9,Chrono Cross,Role-playing,PS,92.28%
10,Quake III Arena,FPS,DC,92.15%
