1,Grand Theft Auto V,Action-adventure,PC,95.07%
2,Journey,Adventure,PS4,94.80%
3,Undertale,Role-playing,PC,94.11%
4,The Witcher 3: Wild Hunt,Action Role-playing,PS4,92.23%
5,The Witcher 3: Wild Hunt,Action Role-playing,PC,92.11%
6,Metal Gear Solid V: The Phantom Pain,Action-adventure,PS4,91.59%
7,The Witcher 3: Wild Hunt-Hearts of Stone,Action Role-playing,PS4,91.19%
8,Bloodborne,Action Role-playing,PS4,90.66%
9,The Legend of Zelda: Majora's Mask 3D,Action-adventure,3DS,90.39%
10,Fallout 4,Action Role-playing,XONE,89.79%
