1,Batman: Arkham City,Action-adventure,PS3,95.94%
2,Portal 2,Puzzle-platform,PC,95.16%
3,The Elder Scrolls V: Skyrim,Action Role-playing,X360,95.15%
4,Portal 2,Puzzle-platform,XBOX360,94.00%
5,Portal 2,Puzzle-platform,PS3,93.95%
6,The Legend of Zelda: Ocarina of Time 3D,Action-adventure,XBOX360,93.89%
7,Batman: Arkham City,Action-adventure,XBOX360,93.88%
8,The Legend of Zelda: Skyward Sword,Action-adventure,WII,93.15%
9,Mass Effect 2,Third-person shooter,PS3,93.09%
10,LittleBigPlanet 2,Puzzle-platformer,PS3,92.04%
