1,Persona 4 Golden,Role-playing,VITA,94.16%
2,Journey,Adventure,PS3,92.56%
3,Mass Effect 3,Action role-playing,XBOX360,92.17%
4,Xenoblade Chronicles,Action role-playing,WII,91.74%
5,Mass Effect 3,Action role-playing,PS3,91.65%
6,Trials Evolution,Racing,X360,91.52%
7,Borderlands 2,Action Role-Playing,PS3,90.48%
8,Mark of the Ninja,Action-stealth,X360,90.43%
9,Okami HD,Action-adventure,PS3,90.29%
10,Borderlands 2,Action Role-Playing,PC,90.10%
