1,The Legend of Zelda: Twilight Princess,Action-adventure,GC,95.00%
2,Gears of War,Third-person shooter,X360,93.97%
3,Company of Heroes,Real-time strategy,PC,93.93%
4,The Elder Scrolls IV: Oblivion,Action Role-playing,XBOX,93.85%
5,The Elder Scrolls IV: Oblivion,Action Role-playing,PC,93.29%
6,Metal Gear Solid 3: Subsistence,Action-adventure,PS2,92.97%
7,Guitar Hero II,"Music, Rhythm",PS2,92.07%
8,Final Fatasy XII,Role-playing,PS2,90.77%
9,Tom Clancy's Ghost Recon Advanced Warfighter,Tactical shooter,X360,90.47%
10,Sid Meier's Civilization IV,Turn-based strategy,PC,82.80%
