1,Red Dead Redemption 2,Action-adventure,XONE,97.28%,,,,,,,,
2,God Of War,Action-adventure,PS4,94.10%,,,,,,,,
3,Divinity: Original Sin II - Definitive Edition,Role-playing,PS4,92.00%,,,,,,,,
4,Shadow of the Colossus,Role-playing,PS4,92.27%,,,,,,,,
5,Forza Horizon 4,Racing,XONE,92.24%,,,,,,,,
6,Astro Bot: Rescue Mission,Platform,PS4,90.87%,,,,,,,,
7,Tetris Effect,Puzzle,PS4,90.44%,,,,,,,,
8,Monster Hunter: World,Action Role-playing,XONE,89.90%,,,,,,,,
9,Marvel's Spider-Man,Action-adventure,PS4,89.40%,,,,,,,,
10,Into the Breach,Turn-based stratrgy,PC,88.63%,,,,,,,,
