1,Grand Theft Auto V,Action-adventure,PS3,97.01%
2,Grand Theft Auto V,Action-adventure,XBOX360,96.10%
3,The Last of Us,Action-adventure,PS3,95.09%
4,Bioshock Infinite,FPS,PC,92.62%
5,Super Mario 3D World,Platformer,WIIU,92.56%
6,Fire Emblem: Awakening,Tactical Role-playing,3DS,92.52%
7,Bioshock Infinite,FPS,XBOX360,91.89%
8,The Legend of Zelda: The Wind Waker HD,Action-adventure,WIIU,91.08%
9,The Legend of Zelda: A Link Between Worlds,Action-adventure,3DS,90.55%
10,The Stanley Parable,Interactive Story,PC,90.25%
