1,Grand Theft Auto V,Action-adventure,PS4,98.33%
2,The Last of Us Remastered,Action-adventure,PS4,95.70%
3, Super Smash Bros. for Wii U,Fighting,WIIU,92.39%
4,Bayonetta 2,Action,WIIU,91.38%
5,Diablo III: Ultimate Evil Edition,Action Role-playing,PS4,91.25%
6,Monument Valley,Puzzle,IOS,90.05%
7,Shovel Knight,Action ,WIIU,89.98%
8,The Last of Us: Left Behind,Action-adventure,PS3,89.84%
9,Guacamelee!,Platformer,PS4,89.79%
10,Dark Soul II,Action Role-playing,PS3,89.68%
